[07:00:17 26/09/21] SUCCESS | Bot Connected
[15:06:04 26/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[15:11:43 26/09/21] EVENT | /imdb command detected in [865989456511107113:140496498939920384]
[15:11:57 26/09/21] EVENT | Component event detected: [watchlist_add,msg:891658297155928064,channel:865989456511107113]
[15:13:35 26/09/21] EVENT | Component event detected: [watchlist_add,msg:891658297155928064,channel:865989456511107113]
[15:26:59 26/09/21] EVENT | /youtube command detected in [140496498939920384:140496498939920384]
[15:27:00 26/09/21] SUCCESS | /youtube: Handling finished
[15:29:51 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:30:12 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:30:30 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:31:02 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:32:20 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:32:55 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
[15:39:10 26/09/21] EVENT | Component event detected: [watchlist_add,msg:891658297155928064,channel:865989456511107113]
[15:39:12 26/09/21] EVENT | Component event detected: [watchlist_add,msg:891658297155928064,channel:865989456511107113]
[15:39:16 26/09/21] EVENT | Component event detected: [watchlist_remove,msg:891658297155928064,channel:865989456511107113]
[15:39:21 26/09/21] EVENT | Component event detected: [watchlist_remove,msg:891658297155928064,channel:865989456511107113]
[15:42:16 26/09/21] EVENT | Component event detected: [watchlist_list,msg:891658297155928064,channel:865989456511107113]
